Days,Corn_NDVI_2013,Cotton_NDVI_2013,Soybean_NDVI_2013,Corn_NDVI_2014,Cotton_NDVI_2014,Soybean_NDVI_2014,Corn_MSAVI_2013,Cotton_MSAVI_2013,Soybean_MSAVI_2013,Corn_MSAVI_2014,Cotton_MSAVI_2014,Soybean_MSAVI_2014
216,0.419206414,0.833867684,0.709657962,0.430687433,0.841290103,0.694004152,0.580594364,0.908878957,0.81955237,0.574759039,0.915244551,0.806148461
217,0.407554164,0.83231702,0.713874357,0.415621148,0.84022933,0.70269527,0.568481467,0.90795935,0.823030438,0.561052451,0.914741452,0.813161825
218,0.395901915,0.830766357,0.718090753,0.400554862,0.839168558,0.711386387,0.55636857,0.907039742,0.826508506,0.547345863,0.914238352,0.82017519
219,0.384249665,0.829215693,0.722307149,0.385488577,0.838107785,0.720077504,0.544255674,0.906120134,0.829986573,0.533639275,0.913735252,0.827188554
220,0.372597416,0.827665029,0.726523545,0.370422291,0.837047013,0.728768622,0.532142777,0.905200527,0.833464641,0.519932687,0.913232153,0.834201918
221,0.360945167,0.826114365,0.730739941,0.355356005,0.835986241,0.737459739,0.52002988,0.904280919,0.836942709,0.506226099,0.912729053,0.841215283
222,0.349292917,0.824563701,0.734956337,0.34028972,0.834925468,0.746150857,0.507916983,0.903361311,0.840420777,0.492519511,0.912225954,0.848228647
223,0.337640668,0.823013038,0.739172733,0.325223434,0.833864696,0.754841974,0.495804087,0.902441704,0.843898845,0.478812922,0.911722854,0.855242011
224,0.325988419,0.821462374,0.743389129,0.310157149,0.832803923,0.763533091,0.48369119,0.901522096,0.847376913,0.465106334,0.911219754,0.862255376
225,0.314336169,0.81991171,0.747605525,0.30058046,0.822354065,0.76021731,0.471578293,0.900602488,0.850854981,0.454191425,0.903043876,0.859971032
226,0.30268392,0.818361046,0.75182192,0.291003771,0.811904206,0.756901528,0.459465396,0.899682881,0.854333048,0.443276515,0.894867998,0.857686688
227,0.291031671,0.816810382,0.756038316,0.281427082,0.801454347,0.753585746,0.4473525,0.898763273,0.857811116,0.432361605,0.886692121,0.855402345
228,0.279379421,0.815259719,0.760254712,0.271850393,0.791004489,0.750269965,0.435239603,0.897843665,0.861289184,0.421446695,0.878516243,0.853118001
229,0.274259793,0.813652906,0.76179636,0.262273704,0.78055463,0.746954183,0.428843408,0.896830876,0.862502514,0.410531785,0.870340365,0.850833657
230,0.269140164,0.812046093,0.763338007,0.252697015,0.770104771,0.743638402,0.422447213,0.895818088,0.863715845,0.399616875,0.862164487,0.848549314
231,0.264020535,0.810439281,0.764879654,0.243120326,0.759654913,0.74032262,0.416051018,0.894805299,0.864929175,0.388701965,0.853988609,0.84626497
232,0.258900907,0.808832468,0.766421302,0.239202889,0.75463675,0.738481533,0.409654823,0.89379251,0.866142505,0.383524999,0.85056964,0.845125959
233,0.253781278,0.807225655,0.767962949,0.235285452,0.749618587,0.736640446,0.403258628,0.892779721,0.867355836,0.378348033,0.84715067,0.843986948
234,0.24866165,0.805618842,0.769504596,0.231368014,0.744600424,0.734799359,0.396862433,0.891766932,0.868569166,0.373171067,0.843731701,0.842847936
235,0.243542021,0.80401203,0.771046244,0.227450577,0.739582261,0.732958272,0.390466238,0.890754144,0.869782496,0.367994101,0.840312732,0.841708925
236,0.238422392,0.802405217,0.772587891,0.22353314,0.734564098,0.731117185,0.384070043,0.889741355,0.870995827,0.362817135,0.836893763,0.840569914
237,0.233302764,0.800798404,0.774129538,0.219615702,0.729545935,0.729276098,0.377673848,0.888728566,0.872209157,0.35764017,0.833474793,0.839430903
